f1,match_rate,recall,precision,!precision,filter_rate,!recall,fpr,threshold,!f1,accuracy
0.066,1.0,1.0,0.034,,0.0,0.0,1.0,0.00144,,0.034
0.066,1.0,1.0,0.034,1.0,0.0,0.0,1.0,0.00145,0.0,0.034
0.066,1.0,1.0,0.034,1.0,0.0,0.0,1.0,0.0015,0.0,0.034
0.066,1.0,1.0,0.034,1.0,0.0,0.0,1.0,0.00159,0.0,0.034
0.066,1.0,1.0,0.034,1.0,0.0,0.0,1.0,0.00161,0.0,0.034
0.066,1.0,1.0,0.034,1.0,0.0,0.0,1.0,0.00163,0.001,0.034
0.066,1.0,1.0,0.034,1.0,0.0,0.0,1.0,0.00164,0.001,0.035
0.066,0.999,1.0,0.034,1.0,0.001,0.001,0.999,0.00166,0.001,0.035
0.066,0.999,1.0,0.034,1.0,0.001,0.001,0.999,0.00169,0.001,0.035
0.066,0.999,1.0,0.034,1.0,0.001,0.001,0.999,0.0017,0.001,0.035
0.066,0.999,1.0,0.034,1.0,0.001,0.001,0.999,0.00171,0.001,0.035
0.066,0.999,1.0,0.034,1.0,0.001,0.001,0.999,0.00173,0.002,0.035
0.066,0.999,1.0,0.034,1.0,0.001,0.001,0.999,0.00175,0.002,0.035
0.066,0.999,1.0,0.034,1.0,0.001,0.001,0.999,0.00176,0.002,0.035
0.066,0.999,1.0,0.034,1.0,0.001,0.001,0.999,0.00178,0.002,0.035
0.066,0.999,1.0,0.034,1.0,0.001,0.001,0.999,0.00179,0.002,0.035
0.066,0.999,1.0,0.034,1.0,0.001,0.001,0.999,0.0018,0.003,0.035
0.066,0.999,1.0,0.034,1.0,0.001,0.001,0.999,0.00181,0.003,0.036
0.066,0.999,1.0,0.034,1.0,0.001,0.001,0.999,0.00182,0.003,0.036
0.066,0.999,1.0,0.034,1.0,0.001,0.002,0.998,0.00183,0.003,0.036
0.066,0.998,1.0,0.034,1.0,0.002,0.002,0.998,0.00186,0.004,0.036
0.066,0.998,1.0,0.034,1.0,0.002,0.002,0.998,0.00187,0.004,0.036
0.066,0.998,1.0,0.034,1.0,0.002,0.002,0.998,0.00188,0.004,0.036
0.066,0.998,1.0,0.034,1.0,0.002,0.002,0.998,0.00189,0.004,0.036
0.066,0.997,1.0,0.034,1.0,0.003,0.003,0.997,0.0019,0.006,0.037
0.066,0.997,1.0,0.034,1.0,0.003,0.003,0.997,0.00191,0.007,0.037
