f1,match_rate,recall,precision,!f1,filter_rate,!recall,fpr,threshold,!precision,accuracy
0.985,1.0,1.0,0.971,,0.0,0.0,1.0,0.00079,,0.971
0.985,1.0,1.0,0.971,0.0,0.0,0.0,1.0,0.00107,1.0,0.971
0.985,1.0,1.0,0.971,0.0,0.0,0.0,1.0,0.00323,1.0,0.971
0.985,1.0,1.0,0.971,0.0,0.0,0.0,1.0,0.0034,1.0,0.971
0.985,1.0,1.0,0.971,0.0,0.0,0.0,1.0,0.00601,1.0,0.971
0.985,1.0,1.0,0.971,0.0,0.0,0.0,1.0,0.00637,1.0,0.971
0.985,1.0,1.0,0.971,0.0,0.0,0.0,1.0,0.00638,1.0,0.971
0.985,1.0,1.0,0.971,0.001,0.0,0.0,1.0,0.00646,1.0,0.971
0.985,1.0,1.0,0.971,0.001,0.0,0.0,1.0,0.00649,1.0,0.971
0.985,1.0,1.0,0.971,0.001,0.0,0.0,1.0,0.00681,1.0,0.971
0.985,1.0,1.0,0.971,0.001,0.0,0.0,1.0,0.00823,1.0,0.971
0.985,1.0,1.0,0.971,0.001,0.0,0.0,1.0,0.00837,1.0,0.971
0.985,1.0,1.0,0.971,0.001,0.0,0.0,1.0,0.00847,1.0,0.971
0.985,1.0,1.0,0.971,0.001,0.0,0.0,1.0,0.00859,1.0,0.971
0.985,1.0,1.0,0.971,0.001,0.0,0.001,0.999,0.00862,1.0,0.971
0.985,1.0,1.0,0.971,0.001,0.0,0.001,0.999,0.00896,1.0,0.971
0.985,1.0,1.0,0.971,0.001,0.0,0.001,0.999,0.009,1.0,0.971
0.985,1.0,1.0,0.971,0.001,0.0,0.001,0.999,0.00902,1.0,0.971
0.985,1.0,1.0,0.971,0.001,0.0,0.001,0.999,0.00922,1.0,0.971
0.985,1.0,1.0,0.971,0.001,0.0,0.001,0.999,0.00925,1.0,0.971
0.985,1.0,1.0,0.971,0.002,0.0,0.001,0.999,0.00935,1.0,0.971
0.985,1.0,1.0,0.971,0.002,0.0,0.001,0.999,0.00945,1.0,0.971
0.985,1.0,1.0,0.971,0.002,0.0,0.001,0.999,0.00958,1.0,0.971
0.985,1.0,1.0,0.971,0.002,0.0,0.001,0.999,0.0096,1.0,0.971
0.985,1.0,1.0,0.971,0.002,0.0,0.001,0.999,0.00964,1.0,0.971
0.985,1.0,1.0,0.971,0.002,0.0,0.001,0.999,0.00976,1.0,0.971
0.985,1.0,1.0,0.971,0.002,0.0,0.001,0.999,0.00985,1.0,0.971
0.985,1.0,1.0,0.971,0.002,0.0,0.001,0.999,0.00996,1.0,0.971
0.985,1.0,1.0,0.971,0.002,0.0,0.001,0.999,0.01007,1.0,0.971
0.985,1.0,1.0,0.971,0.002,0.0,0.001,0.999,0.01008,1.0,0.971
0.985,1.0,1.0,0.971,0.002,0.0,0.001,0.999,0.01011,1.0,0.971
0.985,1.0,1.0,0.971,0.002,0.0,0.001,0.999,0.01015,1.0,0.971
0.985,1.0,1.0,0.971,0.003,0.0,0.001,0.999,0.01021,1.0,0.971
0.985,1.0,1.0,0.971,0.003,0.0,0.001,0.999,0.01026,1.0,0.971
0.985,1.0,1.0,0.971,0.003,0.0,0.001,0.999,0.01028,1.0,0.971
0.985,1.0,1.0,0.971,0.003,0.0,0.001,0.999,0.01031,1.0,0.971
0.985,1.0,1.0,0.971,0.003,0.0,0.002,0.998,0.01033,1.0,0.971
0.985,1.0,1.0,0.971,0.003,0.0,0.002,0.998,0.01039,1.0,0.971
0.985,1.0,1.0,0.971,0.003,0.0,0.002,0.998,0.01047,1.0,0.971
0.985,1.0,1.0,0.971,0.003,0.0,0.002,0.998,0.01052,1.0,0.971
0.985,1.0,1.0,0.971,0.003,0.0,0.002,0.998,0.01058,1.0,0.971
0.985,1.0,1.0,0.971,0.004,0.0,0.002,0.998,0.0106,1.0,0.971
0.985,1.0,1.0,0.971,0.004,0.0,0.002,0.998,0.01061,1.0,0.971
0.985,1.0,1.0,0.971,0.004,0.0,0.002,0.998,0.01079,1.0,0.971
0.985,1.0,1.0,0.971,0.004,0.0,0.002,0.998,0.01082,1.0,0.971
0.985,1.0,1.0,0.971,0.004,0.0,0.002,0.998,0.01098,1.0,0.971
0.985,1.0,1.0,0.971,0.004,0.0,0.002,0.998,0.01102,1.0,0.971
0.985,1.0,1.0,0.971,0.004,0.0,0.002,0.998,0.01105,1.0,0.971
0.985,1.0,1.0,0.971,0.004,0.0,0.002,0.998,0.01106,1.0,0.971
0.985,1.0,1.0,0.971,0.004,0.0,0.002,0.998,0.01107,1.0,0.971
0.985,1.0,1.0,0.971,0.004,0.0,0.002,0.998,0.01109,1.0,0.971
0.985,1.0,1.0,0.971,0.005,0.0,0.002,0.998,0.01117,1.0,0.971
0.985,1.0,1.0,0.971,0.005,0.0,0.002,0.998,0.01118,1.0,0.971
0.985,1.0,1.0,0.971,0.005,0.0,0.002,0.998,0.01121,1.0,0.971
0.985,1.0,1.0,0.971,0.005,0.0,0.002,0.998,0.01122,1.0,0.971
0.985,1.0,1.0,0.971,0.005,0.0,0.002,0.998,0.0114,1.0,0.971
0.985,1.0,1.0,0.971,0.005,0.0,0.003,0.997,0.01148,1.0,0.971
0.985,1.0,1.0,0.971,0.005,0.0,0.003,0.997,0.01153,1.0,0.971
0.985,1.0,1.0,0.971,0.005,0.0,0.003,0.997,0.01159,1.0,0.971
0.985,1.0,1.0,0.971,0.005,0.0,0.003,0.997,0.01167,1.0,0.971
0.985,1.0,1.0,0.971,0.005,0.0,0.003,0.997,0.01168,1.0,0.971
0.985,1.0,1.0,0.971,0.006,0.0,0.003,0.997,0.01174,1.0,0.971
0.985,1.0,1.0,0.971,0.006,0.0,0.003,0.997,0.01175,1.0,0.971
0.985,1.0,1.0,0.971,0.006,0.0,0.003,0.997,0.01176,1.0,0.971
0.985,1.0,1.0,0.971,0.006,0.0,0.003,0.997,0.01177,1.0,0.971
0.985,1.0,1.0,0.971,0.006,0.0,0.003,0.997,0.01181,1.0,0.971
0.985,1.0,1.0,0.971,0.006,0.0,0.003,0.997,0.01182,1.0,0.971
0.985,1.0,1.0,0.971,0.006,0.0,0.003,0.997,0.01183,1.0,0.971
0.985,1.0,1.0,0.971,0.006,0.0,0.003,0.997,0.01185,1.0,0.971
0.985,1.0,1.0,0.971,0.006,0.0,0.003,0.997,0.01187,1.0,0.971
0.985,1.0,1.0,0.971,0.006,0.0,0.003,0.997,0.01189,1.0,0.971
0.985,1.0,1.0,0.971,0.006,0.0,0.003,0.997,0.01191,1.0,0.971
0.985,1.0,1.0,0.971,0.006,0.0,0.003,0.997,0.01193,1.0,0.971
0.985,1.0,1.0,0.971,0.007,0.0,0.003,0.997,0.01195,1.0,0.971
0.985,1.0,1.0,0.971,0.007,0.0,0.003,0.997,0.01198,1.0,0.971
0.985,1.0,1.0,0.971,0.007,0.0,0.003,0.997,0.012,1.0,0.971
0.985,1.0,1.0,0.971,0.007,0.0,0.003,0.997,0.01204,1.0,0.971
0.985,1.0,1.0,0.971,0.007,0.0,0.003,0.997,0.01206,1.0,0.971
0.985,1.0,1.0,0.971,0.007,0.0,0.003,0.997,0.01208,1.0,0.971
0.985,1.0,1.0,0.971,0.007,0.0,0.004,0.996,0.0121,1.0,0.971
0.985,1.0,1.0,0.971,0.007,0.0,0.004,0.996,0.01213,1.0,0.971
0.985,1.0,1.0,0.971,0.007,0.0,0.004,0.996,0.01214,1.0,0.971
0.985,1.0,1.0,0.971,0.007,0.0,0.004,0.996,0.01219,1.0,0.971
0.985,1.0,1.0,0.971,0.007,0.0,0.004,0.996,0.01222,1.0,0.971
0.985,1.0,1.0,0.971,0.008,0.0,0.004,0.996,0.01223,1.0,0.971
0.985,1.0,1.0,0.971,0.008,0.0,0.004,0.996,0.01225,1.0,0.971
0.985,1.0,1.0,0.971,0.008,0.0,0.004,0.996,0.0123,1.0,0.971
0.985,1.0,1.0,0.971,0.008,0.0,0.004,0.996,0.01231,1.0,0.971
