f1,match_rate,recall,precision,!precision,filter_rate,!recall,fpr,threshold,!f1,accuracy
0.005,1.0,1.0,0.002,,0.0,0.0,1.0,0.00062,,0.002
0.005,1.0,1.0,0.002,1.0,0.0,0.0,1.0,0.00065,0.0,0.002
0.005,1.0,1.0,0.002,1.0,0.0,0.0,1.0,0.00067,0.0,0.002
0.005,1.0,1.0,0.002,1.0,0.0,0.0,1.0,0.0007,0.0,0.002
0.005,1.0,1.0,0.002,1.0,0.0,0.0,1.0,0.00071,0.0,0.002
0.005,1.0,1.0,0.002,0.992,0.0,0.0,1.0,0.00072,0.0,0.002
0.005,1.0,1.0,0.002,0.994,0.0,0.0,1.0,0.00073,0.0,0.002
0.005,1.0,1.0,0.002,0.996,0.0,0.0,1.0,0.00074,0.001,0.003
0.005,1.0,1.0,0.002,0.997,0.0,0.0,1.0,0.00075,0.001,0.003
0.005,1.0,1.0,0.002,0.997,0.0,0.0,1.0,0.00076,0.001,0.003
0.005,1.0,1.0,0.002,0.998,0.0,0.0,1.0,0.00077,0.001,0.003
0.005,0.999,1.0,0.002,0.998,0.001,0.001,0.999,0.00078,0.001,0.003
0.005,0.999,1.0,0.002,0.998,0.001,0.001,0.999,0.00079,0.001,0.003
0.005,0.999,1.0,0.002,0.999,0.001,0.001,0.999,0.0008,0.002,0.003
0.005,0.999,1.0,0.002,0.999,0.001,0.001,0.999,0.00081,0.002,0.003
0.005,0.999,1.0,0.002,0.999,0.001,0.001,0.999,0.00082,0.003,0.004
0.005,0.998,1.0,0.002,0.999,0.002,0.002,0.998,0.00083,0.003,0.004
0.005,0.998,1.0,0.002,0.999,0.002,0.002,0.998,0.00084,0.004,0.004
0.005,0.998,1.0,0.002,1.0,0.002,0.002,0.998,0.00085,0.005,0.005
0.005,0.997,1.0,0.002,1.0,0.003,0.003,0.997,0.00086,0.005,0.005
0.005,0.997,1.0,0.002,1.0,0.003,0.003,0.997,0.00087,0.006,0.005
0.005,0.997,1.0,0.002,1.0,0.003,0.003,0.997,0.00088,0.006,0.005
0.005,0.996,1.0,0.002,1.0,0.004,0.004,0.996,0.00089,0.007,0.006
0.005,0.996,1.0,0.002,1.0,0.004,0.004,0.996,0.0009,0.008,0.006
0.005,0.996,1.0,0.002,1.0,0.004,0.004,0.996,0.00091,0.009,0.007
0.005,0.995,1.0,0.002,1.0,0.005,0.005,0.995,0.00092,0.01,0.007
0.005,0.995,1.0,0.002,1.0,0.005,0.005,0.995,0.00093,0.01,0.007
0.005,0.994,1.0,0.002,1.0,0.006,0.006,0.994,0.00094,0.011,0.008
0.005,0.994,1.0,0.002,1.0,0.006,0.006,0.994,0.00095,0.012,0.008
0.005,0.994,1.0,0.002,1.0,0.006,0.006,0.994,0.00096,0.013,0.009
0.005,0.993,1.0,0.002,1.0,0.007,0.007,0.993,0.00097,0.014,0.009
0.005,0.993,1.0,0.002,1.0,0.007,0.007,0.993,0.00098,0.015,0.01
0.005,0.992,1.0,0.002,1.0,0.008,0.008,0.992,0.00099,0.016,0.011
0.005,0.991,1.0,0.002,1.0,0.009,0.009,0.991,0.001,0.018,0.011
0.005,0.99,1.0,0.002,1.0,0.01,0.01,0.99,0.00101,0.02,0.012
0.005,0.989,1.0,0.002,1.0,0.011,0.011,0.989,0.00102,0.023,0.014
0.005,0.987,1.0,0.002,1.0,0.013,0.013,0.987,0.00103,0.026,0.015
0.005,0.986,1.0,0.002,1.0,0.014,0.015,0.985,0.00104,0.029,0.017
0.005,0.984,1.0,0.002,1.0,0.016,0.016,0.984,0.00105,0.032,0.019
0.005,0.982,1.0,0.002,1.0,0.018,0.019,0.981,0.00106,0.036,0.021
0.005,0.98,1.0,0.002,1.0,0.02,0.02,0.98,0.00107,0.039,0.022
0.005,0.978,1.0,0.002,1.0,0.022,0.022,0.978,0.00108,0.043,0.024
0.005,0.976,1.0,0.002,1.0,0.024,0.024,0.976,0.00109,0.047,0.026
0.005,0.974,1.0,0.002,1.0,0.026,0.026,0.974,0.0011,0.051,0.028
0.005,0.972,1.0,0.002,1.0,0.028,0.028,0.972,0.00111,0.055,0.03
0.005,0.97,1.0,0.002,1.0,0.03,0.03,0.97,0.00112,0.058,0.032
0.005,0.969,1.0,0.002,1.0,0.031,0.031,0.969,0.00113,0.061,0.034
0.005,0.967,1.0,0.002,1.0,0.033,0.033,0.967,0.00114,0.064,0.036
0.005,0.965,1.0,0.002,1.0,0.035,0.035,0.965,0.00115,0.067,0.037
0.005,0.964,1.0,0.002,1.0,0.036,0.036,0.964,0.00116,0.07,0.038
0.005,0.962,1.0,0.002,1.0,0.038,0.038,0.962,0.00117,0.072,0.04
0.005,0.961,1.0,0.002,1.0,0.039,0.039,0.961,0.00118,0.076,0.041
0.005,0.959,1.0,0.002,1.0,0.041,0.041,0.959,0.00119,0.078,0.043
0.005,0.957,1.0,0.002,1.0,0.043,0.043,0.957,0.0012,0.082,0.045
0.005,0.956,1.0,0.002,1.0,0.044,0.044,0.956,0.00121,0.085,0.046
0.005,0.954,1.0,0.002,1.0,0.046,0.046,0.954,0.00122,0.088,0.048
0.005,0.952,1.0,0.002,1.0,0.048,0.048,0.952,0.00123,0.092,0.051
0.005,0.949,1.0,0.002,1.0,0.051,0.051,0.949,0.00124,0.097,0.053
0.005,0.947,1.0,0.002,1.0,0.053,0.054,0.946,0.00125,0.102,0.056
0.005,0.943,1.0,0.002,1.0,0.057,0.057,0.943,0.00126,0.107,0.059
0.005,0.941,1.0,0.002,1.0,0.059,0.059,0.941,0.00127,0.112,0.061
0.005,0.938,1.0,0.002,1.0,0.062,0.062,0.938,0.00128,0.117,0.064
0.005,0.936,1.0,0.002,1.0,0.064,0.065,0.935,0.00129,0.121,0.067
0.005,0.932,1.0,0.002,1.0,0.068,0.068,0.932,0.0013,0.127,0.07
0.005,0.93,1.0,0.002,1.0,0.07,0.071,0.929,0.00131,0.132,0.073
0.005,0.928,1.0,0.002,1.0,0.072,0.072,0.928,0.00132,0.135,0.075
0.005,0.925,1.0,0.002,1.0,0.075,0.075,0.925,0.00133,0.139,0.077
0.005,0.922,1.0,0.002,1.0,0.078,0.078,0.922,0.00134,0.145,0.08
0.005,0.919,1.0,0.002,1.0,0.081,0.081,0.919,0.00135,0.15,0.083
0.005,0.917,1.0,0.002,1.0,0.083,0.083,0.917,0.00136,0.154,0.085
0.005,0.915,1.0,0.002,1.0,0.085,0.086,0.914,0.00137,0.158,0.088
0.005,0.913,1.0,0.002,1.0,0.087,0.087,0.913,0.00138,0.16,0.089
0.005,0.911,1.0,0.002,1.0,0.089,0.089,0.911,0.00139,0.164,0.091
0.005,0.909,1.0,0.002,1.0,0.091,0.091,0.909,0.0014,0.166,0.093
0.005,0.908,1.0,0.002,1.0,0.092,0.092,0.908,0.00141,0.169,0.094
0.005,0.906,1.0,0.003,1.0,0.094,0.094,0.906,0.00142,0.172,0.096
0.005,0.904,1.0,0.003,1.0,0.096,0.096,0.904,0.00143,0.175,0.098
0.005,0.903,1.0,0.003,1.0,0.097,0.098,0.902,0.00144,0.178,0.1
0.005,0.901,1.0,0.003,1.0,0.099,0.099,0.901,0.00145,0.181,0.101
0.005,0.899,1.0,0.003,1.0,0.101,0.101,0.899,0.00146,0.184,0.103
0.005,0.897,1.0,0.003,1.0,0.103,0.103,0.897,0.00147,0.187,0.105
0.005,0.896,1.0,0.003,1.0,0.104,0.105,0.895,0.00148,0.19,0.107
0.005,0.894,1.0,0.003,1.0,0.106,0.106,0.894,0.00149,0.192,0.108
0.005,0.892,1.0,0.003,1.0,0.108,0.108,0.892,0.0015,0.195,0.11
0.005,0.891,1.0,0.003,1.0,0.109,0.109,0.891,0.00151,0.197,0.111
0.005,0.889,1.0,0.003,1.0,0.111,0.111,0.889,0.00152,0.2,0.113
0.005,0.888,1.0,0.003,1.0,0.112,0.112,0.888,0.00153,0.202,0.114
0.005,0.886,1.0,0.003,1.0,0.114,0.114,0.886,0.00154,0.205,0.116
0.005,0.884,1.0,0.003,1.0,0.116,0.116,0.884,0.00155,0.208,0.118
0.005,0.883,1.0,0.003,1.0,0.117,0.118,0.882,0.00156,0.21,0.12
0.005,0.881,1.0,0.003,1.0,0.119,0.119,0.881,0.00157,0.213,0.121
0.005,0.879,1.0,0.003,1.0,0.121,0.121,0.879,0.00158,0.216,0.123
0.005,0.878,1.0,0.003,1.0,0.122,0.123,0.877,0.00159,0.219,0.125
0.005,0.876,0.999,0.003,1.0,0.124,0.124,0.876,0.0016,0.221,0.126
0.005,0.874,0.999,0.003,1.0,0.126,0.126,0.874,0.00161,0.224,0.128
0.005,0.873,0.999,0.003,1.0,0.127,0.128,0.872,0.00162,0.227,0.13
0.005,0.871,0.999,0.003,1.0,0.129,0.129,0.871,0.00163,0.229,0.131
0.005,0.869,0.999,0.003,1.0,0.131,0.131,0.869,0.00164,0.232,0.133
0.005,0.867,0.999,0.003,1.0,0.133,0.133,0.867,0.00165,0.235,0.135
0.005,0.865,0.999,0.003,1.0,0.135,0.135,0.865,0.00166,0.238,0.137
0.005,0.863,0.999,0.003,1.0,0.137,0.137,0.863,0.00167,0.241,0.139
0.005,0.861,0.999,0.003,1.0,0.139,0.139,0.861,0.00168,0.244,0.141
0.005,0.859,0.999,0.003,1.0,0.141,0.141,0.859,0.00169,0.247,0.143
0.005,0.857,0.999,0.003,1.0,0.143,0.144,0.856,0.0017,0.251,0.146
0.005,0.854,0.999,0.003,1.0,0.146,0.146,0.854,0.00171,0.255,0.148
0.005,0.852,0.999,0.003,1.0,0.148,0.148,0.852,0.00172,0.258,0.15
0.005,0.85,0.999,0.003,1.0,0.15,0.151,0.849,0.00173,0.262,0.152
0.005,0.848,0.999,0.003,1.0,0.152,0.152,0.848,0.00174,0.264,0.154
0.005,0.846,0.999,0.003,1.0,0.154,0.155,0.845,0.00175,0.268,0.156
0.005,0.844,0.999,0.003,1.0,0.156,0.157,0.843,0.00176,0.271,0.159
0.005,0.841,0.999,0.003,1.0,0.159,0.159,0.841,0.00177,0.275,0.161
0.005,0.839,0.999,0.003,1.0,0.161,0.161,0.839,0.00178,0.278,0.163
0.005,0.837,0.999,0.003,1.0,0.163,0.164,0.836,0.00179,0.281,0.165
0.005,0.834,0.999,0.003,1.0,0.166,0.166,0.834,0.0018,0.285,0.168
0.005,0.832,0.999,0.003,1.0,0.168,0.168,0.832,0.00181,0.288,0.17
0.005,0.83,0.999,0.003,1.0,0.17,0.171,0.829,0.00182,0.292,0.173
0.005,0.827,0.999,0.003,1.0,0.173,0.173,0.827,0.00183,0.295,0.175
0.005,0.825,0.999,0.003,1.0,0.175,0.176,0.824,0.00184,0.299,0.177
0.005,0.822,0.999,0.003,1.0,0.178,0.178,0.822,0.00185,0.303,0.18
0.006,0.82,0.999,0.003,1.0,0.18,0.181,0.819,0.00186,0.306,0.182
0.006,0.817,0.999,0.003,1.0,0.183,0.184,0.816,0.00187,0.31,0.185
0.006,0.814,0.999,0.003,1.0,0.186,0.186,0.814,0.00188,0.314,0.188
0.006,0.812,0.999,0.003,1.0,0.188,0.189,0.811,0.00189,0.318,0.191
0.006,0.809,0.999,0.003,1.0,0.191,0.192,0.808,0.0019,0.322,0.194
0.006,0.806,0.999,0.003,1.0,0.194,0.194,0.806,0.00191,0.326,0.196
0.006,0.803,0.999,0.003,1.0,0.197,0.197,0.803,0.00192,0.33,0.199
0.006,0.8,0.999,0.003,1.0,0.2,0.201,0.799,0.00193,0.334,0.203
0.006,0.797,0.999,0.003,1.0,0.203,0.203,0.797,0.00194,0.338,0.205
0.006,0.794,0.999,0.003,1.0,0.206,0.206,0.794,0.00195,0.342,0.208
0.006,0.791,0.999,0.003,1.0,0.209,0.209,0.791,0.00196,0.346,0.211
0.006,0.788,0.999,0.003,1.0,0.212,0.213,0.787,0.00197,0.351,0.214
0.006,0.786,0.999,0.003,1.0,0.214,0.215,0.785,0.00198,0.354,0.217
0.006,0.782,0.999,0.003,1.0,0.218,0.218,0.782,0.00199,0.358,0.22
0.006,0.78,0.999,0.003,1.0,0.22,0.22,0.78,0.002,0.361,0.222
0.006,0.777,0.999,0.003,1.0,0.223,0.224,0.776,0.00201,0.366,0.225
0.006,0.773,0.999,0.003,1.0,0.227,0.227,0.773,0.00202,0.37,0.229
0.006,0.771,0.999,0.003,1.0,0.229,0.23,0.77,0.00203,0.374,0.232
0.006,0.767,0.999,0.003,1.0,0.233,0.233,0.767,0.00204,0.378,0.235
0.006,0.764,0.999,0.003,1.0,0.236,0.237,0.763,0.00205,0.383,0.239
0.006,0.76,0.999,0.003,1.0,0.24,0.241,0.759,0.00206,0.388,0.242
0.006,0.757,0.998,0.003,1.0,0.243,0.243,0.757,0.00207,0.391,0.245
0.006,0.754,0.998,0.003,1.0,0.246,0.246,0.754,0.00208,0.395,0.248
0.006,0.752,0.998,0.003,1.0,0.248,0.248,0.752,0.00209,0.398,0.25
0.006,0.75,0.998,0.003,1.0,0.25,0.251,0.749,0.0021,0.401,0.253
0.006,0.747,0.998,0.003,1.0,0.253,0.254,0.746,0.00211,0.404,0.255
0.006,0.745,0.998,0.003,1.0,0.255,0.256,0.744,0.00212,0.407,0.257
0.006,0.743,0.998,0.003,1.0,0.257,0.258,0.742,0.00213,0.41,0.26
0.006,0.74,0.998,0.003,1.0,0.26,0.261,0.739,0.00214,0.414,0.262
0.006,0.737,0.998,0.003,1.0,0.263,0.263,0.737,0.00215,0.417,0.265
0.006,0.735,0.998,0.003,1.0,0.265,0.266,0.734,0.00216,0.42,0.267
0.006,0.732,0.998,0.003,1.0,0.268,0.269,0.731,0.00217,0.424,0.27
