f1,match_rate,recall,precision,!precision,filter_rate,!recall,fpr,threshold,!f1,accuracy
0.038,1.0,1.0,0.02,,0.0,0.0,1.0,0.00214,,0.02
0.038,1.0,1.0,0.02,1.0,0.0,0.0,1.0,0.00226,0.0,0.02
0.038,1.0,1.0,0.02,1.0,0.0,0.0,1.0,0.00227,0.0,0.02
0.038,1.0,1.0,0.02,1.0,0.0,0.0,1.0,0.00228,0.0,0.02
0.038,1.0,1.0,0.02,1.0,0.0,0.0,1.0,0.00229,0.0,0.02
0.038,1.0,1.0,0.02,1.0,0.0,0.0,1.0,0.00234,0.0,0.02
0.038,1.0,1.0,0.02,1.0,0.0,0.0,1.0,0.00235,0.001,0.02
0.038,1.0,1.0,0.02,1.0,0.0,0.0,1.0,0.00236,0.001,0.02
0.038,1.0,1.0,0.02,1.0,0.0,0.0,1.0,0.00237,0.001,0.02
0.038,0.999,1.0,0.02,1.0,0.001,0.001,0.999,0.00238,0.002,0.02
0.038,0.999,1.0,0.02,1.0,0.001,0.001,0.999,0.00239,0.002,0.02
0.038,0.999,1.0,0.02,1.0,0.001,0.001,0.999,0.0024,0.002,0.02
0.038,0.999,1.0,0.02,1.0,0.001,0.001,0.999,0.00241,0.002,0.02
0.038,0.999,1.0,0.02,1.0,0.001,0.001,0.999,0.00242,0.002,0.021
0.038,0.999,1.0,0.02,1.0,0.001,0.001,0.999,0.00243,0.003,0.021
0.038,0.998,1.0,0.02,1.0,0.002,0.002,0.998,0.00244,0.003,0.021
0.038,0.998,1.0,0.02,1.0,0.002,0.002,0.998,0.00245,0.004,0.021
0.038,0.998,1.0,0.02,1.0,0.002,0.002,0.998,0.00246,0.004,0.022
0.038,0.998,1.0,0.02,1.0,0.002,0.002,0.998,0.00247,0.005,0.022
0.038,0.997,1.0,0.02,1.0,0.003,0.003,0.997,0.00248,0.005,0.022
0.038,0.997,1.0,0.02,1.0,0.003,0.003,0.997,0.00249,0.006,0.022
0.038,0.997,1.0,0.02,1.0,0.003,0.003,0.997,0.0025,0.007,0.023
0.038,0.996,1.0,0.02,1.0,0.004,0.004,0.996,0.00251,0.008,0.023
0.038,0.996,1.0,0.02,1.0,0.004,0.004,0.996,0.00252,0.009,0.024
0.038,0.995,1.0,0.02,1.0,0.005,0.005,0.995,0.00253,0.01,0.025
0.038,0.994,1.0,0.02,1.0,0.006,0.006,0.994,0.00254,0.011,0.025
0.038,0.994,1.0,0.02,1.0,0.006,0.006,0.994,0.00255,0.012,0.026
0.039,0.994,1.0,0.02,1.0,0.006,0.007,0.993,0.00256,0.013,0.026
0.039,0.993,1.0,0.02,1.0,0.007,0.007,0.993,0.00257,0.014,0.026
0.039,0.993,1.0,0.02,1.0,0.007,0.008,0.992,0.00258,0.015,0.027
0.039,0.992,1.0,0.02,1.0,0.008,0.009,0.991,0.00259,0.017,0.028
0.039,0.991,1.0,0.02,1.0,0.009,0.009,0.991,0.0026,0.018,0.029
0.039,0.99,1.0,0.02,1.0,0.01,0.01,0.99,0.00261,0.02,0.029
0.039,0.99,1.0,0.02,1.0,0.01,0.011,0.989,0.00262,0.021,0.03
0.039,0.988,1.0,0.02,1.0,0.012,0.012,0.988,0.00263,0.023,0.031
0.039,0.988,1.0,0.02,1.0,0.012,0.012,0.988,0.00264,0.024,0.032
0.039,0.987,1.0,0.02,1.0,0.013,0.013,0.987,0.00265,0.026,0.032
0.039,0.986,1.0,0.02,1.0,0.014,0.014,0.986,0.00266,0.028,0.033
0.039,0.985,1.0,0.02,1.0,0.015,0.015,0.985,0.00267,0.029,0.034
0.039,0.985,1.0,0.02,1.0,0.015,0.016,0.984,0.00268,0.031,0.035
0.039,0.984,1.0,0.02,1.0,0.016,0.016,0.984,0.00269,0.032,0.036
0.039,0.982,1.0,0.02,1.0,0.018,0.018,0.982,0.0027,0.035,0.037
0.039,0.982,1.0,0.02,1.0,0.018,0.019,0.981,0.00271,0.037,0.038
0.039,0.981,1.0,0.02,1.0,0.019,0.019,0.981,0.00272,0.038,0.038
0.039,0.98,1.0,0.02,1.0,0.02,0.02,0.98,0.00273,0.04,0.039
0.039,0.979,1.0,0.02,1.0,0.021,0.021,0.979,0.00274,0.041,0.04
0.039,0.978,1.0,0.02,1.0,0.022,0.022,0.978,0.00275,0.043,0.041
0.039,0.978,1.0,0.02,1.0,0.022,0.023,0.977,0.00276,0.045,0.042
0.039,0.977,1.0,0.02,1.0,0.023,0.024,0.976,0.00277,0.046,0.043
0.039,0.976,1.0,0.02,1.0,0.024,0.024,0.976,0.00278,0.048,0.043
0.039,0.975,1.0,0.02,1.0,0.025,0.025,0.975,0.00279,0.049,0.044
0.039,0.974,1.0,0.02,1.0,0.026,0.026,0.974,0.0028,0.051,0.045
0.039,0.973,1.0,0.02,1.0,0.027,0.027,0.973,0.00281,0.053,0.046
0.039,0.972,1.0,0.02,1.0,0.028,0.028,0.972,0.00282,0.055,0.047
0.039,0.972,1.0,0.02,1.0,0.028,0.029,0.971,0.00283,0.056,0.048
0.039,0.971,1.0,0.02,1.0,0.029,0.03,0.97,0.00284,0.058,0.049
0.039,0.97,1.0,0.02,1.0,0.03,0.031,0.969,0.00285,0.06,0.05
0.039,0.969,1.0,0.02,1.0,0.031,0.032,0.968,0.00286,0.062,0.051
0.04,0.968,1.0,0.02,1.0,0.032,0.033,0.967,0.00287,0.063,0.051
0.04,0.967,1.0,0.02,1.0,0.033,0.033,0.967,0.00288,0.065,0.052
0.04,0.966,1.0,0.02,1.0,0.034,0.035,0.965,0.00289,0.067,0.054
0.04,0.965,1.0,0.02,1.0,0.035,0.035,0.965,0.0029,0.068,0.054
0.04,0.964,1.0,0.02,1.0,0.036,0.036,0.964,0.00291,0.07,0.055
0.04,0.963,1.0,0.02,1.0,0.037,0.038,0.962,0.00292,0.073,0.056
0.04,0.962,1.0,0.02,1.0,0.038,0.039,0.961,0.00293,0.075,0.058
0.04,0.961,1.0,0.02,1.0,0.039,0.04,0.96,0.00294,0.077,0.059
