f1,match_rate,recall,precision,!precision,filter_rate,!recall,fpr,threshold,!f1,accuracy
0.014,1.0,1.0,0.007,,0.0,0.0,1.0,0.00393,,0.007
0.014,1.0,1.0,0.007,1.0,0.0,0.0,1.0,0.00399,0.0,0.007
0.014,1.0,1.0,0.007,1.0,0.0,0.0,1.0,0.004,0.0,0.007
0.014,1.0,1.0,0.007,1.0,0.0,0.0,1.0,0.00402,0.0,0.007
0.014,1.0,1.0,0.007,1.0,0.0,0.0,1.0,0.00404,0.0,0.007
0.014,1.0,1.0,0.007,1.0,0.0,0.0,1.0,0.00405,0.0,0.007
0.014,1.0,1.0,0.007,1.0,0.0,0.0,1.0,0.00406,0.0,0.007
0.014,1.0,1.0,0.007,1.0,0.0,0.0,1.0,0.00407,0.0,0.007
0.014,1.0,1.0,0.007,1.0,0.0,0.0,1.0,0.00408,0.001,0.007
0.014,0.999,1.0,0.007,1.0,0.001,0.001,0.999,0.00409,0.001,0.008
0.014,0.999,1.0,0.007,1.0,0.001,0.001,0.999,0.0041,0.002,0.008
0.014,0.999,1.0,0.007,1.0,0.001,0.001,0.999,0.00411,0.002,0.008
0.014,0.999,1.0,0.007,1.0,0.001,0.001,0.999,0.00412,0.002,0.008
0.014,0.999,1.0,0.007,1.0,0.001,0.001,0.999,0.00413,0.002,0.008
0.014,0.999,1.0,0.007,1.0,0.001,0.001,0.999,0.00414,0.003,0.008
0.014,0.998,1.0,0.007,1.0,0.002,0.002,0.998,0.00415,0.003,0.009
0.014,0.998,1.0,0.007,1.0,0.002,0.002,0.998,0.00416,0.003,0.009
0.014,0.998,1.0,0.007,1.0,0.002,0.002,0.998,0.00417,0.003,0.009
0.014,0.998,1.0,0.007,1.0,0.002,0.002,0.998,0.00418,0.004,0.009
0.014,0.998,1.0,0.007,1.0,0.002,0.002,0.998,0.00419,0.004,0.009
0.014,0.998,1.0,0.007,1.0,0.002,0.002,0.998,0.0042,0.004,0.009
0.014,0.998,1.0,0.007,1.0,0.002,0.002,0.998,0.00421,0.005,0.009
0.014,0.998,1.0,0.007,1.0,0.002,0.002,0.998,0.00422,0.005,0.01
0.014,0.998,1.0,0.007,1.0,0.002,0.002,0.998,0.00423,0.005,0.01
0.014,0.997,1.0,0.007,1.0,0.003,0.003,0.997,0.00424,0.006,0.01
0.014,0.997,1.0,0.007,1.0,0.003,0.003,0.997,0.00425,0.006,0.01
0.014,0.997,1.0,0.007,1.0,0.003,0.003,0.997,0.00426,0.007,0.01
0.014,0.996,1.0,0.007,1.0,0.004,0.004,0.996,0.00427,0.007,0.011
0.014,0.996,1.0,0.007,1.0,0.004,0.004,0.996,0.00428,0.008,0.011
0.014,0.996,1.0,0.007,1.0,0.004,0.004,0.996,0.00429,0.008,0.011
0.014,0.996,1.0,0.007,1.0,0.004,0.004,0.996,0.0043,0.008,0.011
0.014,0.996,1.0,0.007,1.0,0.004,0.004,0.996,0.00431,0.009,0.012
0.014,0.995,1.0,0.007,1.0,0.005,0.005,0.995,0.00432,0.009,0.012
0.014,0.995,1.0,0.007,1.0,0.005,0.005,0.995,0.00433,0.01,0.012
0.014,0.995,1.0,0.007,1.0,0.005,0.005,0.995,0.00434,0.011,0.012
0.014,0.994,1.0,0.007,1.0,0.006,0.006,0.994,0.00435,0.011,0.013
0.014,0.994,1.0,0.007,1.0,0.006,0.006,0.994,0.00436,0.012,0.013
0.014,0.993,1.0,0.007,1.0,0.007,0.007,0.993,0.00437,0.013,0.014
0.014,0.993,1.0,0.007,1.0,0.007,0.007,0.993,0.00438,0.014,0.014
0.014,0.993,1.0,0.007,1.0,0.007,0.007,0.993,0.00439,0.015,0.015
0.014,0.992,1.0,0.007,1.0,0.008,0.008,0.992,0.0044,0.016,0.015
0.014,0.992,1.0,0.007,1.0,0.008,0.008,0.992,0.00441,0.016,0.015
0.014,0.991,1.0,0.007,1.0,0.009,0.009,0.991,0.00442,0.018,0.016
0.014,0.99,1.0,0.007,1.0,0.01,0.01,0.99,0.00443,0.019,0.017
0.014,0.99,1.0,0.007,1.0,0.01,0.01,0.99,0.00444,0.02,0.017
0.014,0.989,1.0,0.007,1.0,0.011,0.011,0.989,0.00445,0.022,0.018
0.014,0.988,1.0,0.007,1.0,0.012,0.012,0.988,0.00446,0.023,0.019
0.014,0.988,1.0,0.007,1.0,0.012,0.012,0.988,0.00447,0.024,0.019
0.014,0.987,1.0,0.007,1.0,0.013,0.013,0.987,0.00448,0.025,0.02
0.014,0.987,1.0,0.007,1.0,0.013,0.013,0.987,0.00449,0.026,0.02
0.014,0.986,1.0,0.007,1.0,0.014,0.014,0.986,0.0045,0.027,0.021
0.014,0.986,1.0,0.007,1.0,0.014,0.014,0.986,0.00451,0.028,0.021
0.014,0.985,1.0,0.007,1.0,0.015,0.015,0.985,0.00452,0.029,0.022
0.014,0.985,1.0,0.007,1.0,0.015,0.015,0.985,0.00453,0.03,0.022
0.014,0.985,1.0,0.007,1.0,0.015,0.016,0.984,0.00454,0.031,0.023
0.014,0.984,1.0,0.007,1.0,0.016,0.016,0.984,0.00455,0.032,0.023
0.014,0.983,1.0,0.007,1.0,0.017,0.017,0.983,0.00456,0.034,0.024
0.014,0.983,1.0,0.007,1.0,0.017,0.018,0.982,0.00457,0.035,0.025
0.014,0.982,1.0,0.007,1.0,0.018,0.018,0.982,0.00458,0.035,0.025
0.014,0.982,1.0,0.007,1.0,0.018,0.019,0.981,0.00459,0.037,0.026
0.015,0.981,1.0,0.007,1.0,0.019,0.019,0.981,0.0046,0.037,0.026
0.015,0.98,1.0,0.007,1.0,0.02,0.02,0.98,0.00461,0.039,0.027
0.015,0.979,1.0,0.007,1.0,0.021,0.021,0.979,0.00462,0.041,0.028
0.015,0.979,1.0,0.007,1.0,0.021,0.021,0.979,0.00463,0.042,0.028
0.015,0.978,1.0,0.007,1.0,0.022,0.022,0.978,0.00464,0.043,0.029
0.015,0.977,1.0,0.007,1.0,0.023,0.023,0.977,0.00465,0.045,0.03
0.015,0.977,1.0,0.007,1.0,0.023,0.023,0.977,0.00466,0.046,0.03
0.015,0.976,1.0,0.007,1.0,0.024,0.024,0.976,0.00467,0.047,0.031
0.015,0.975,1.0,0.007,1.0,0.025,0.025,0.975,0.00468,0.049,0.032
0.015,0.974,1.0,0.007,1.0,0.026,0.026,0.974,0.00469,0.051,0.033
0.015,0.973,1.0,0.007,1.0,0.027,0.027,0.973,0.0047,0.053,0.034
